id,Booking_status,probability
42100,0,0.09188162
42101,0,0.033458095
42102,0,0.3171589
42103,0,0.17427541
42104,1,0.56671923
42105,1,0.5099573
42106,1,0.5791696
42107,1,0.700805
42108,0,3.233548e-08
42109,0,0.44497594
42110,1,0.6549034
42111,0,0.30460596
42112,0,0.43738657
42113,0,0.111420244
42114,0,0.30014256
42115,1,0.7760396
42116,0,0.02642111
42117,0,0.28964072
42118,1,0.86372584
42119,1,0.84826326
42120,1,0.88347465
42121,0,0.1995457
42122,0,0.0070717297
42123,1,0.53098536
42124,1,0.78236437
42125,0,0.0018390828
42126,0,0.0
42127,0,0.0038322434
42128,0,0.2733839
42129,1,0.7481911
42130,1,0.84891033
42131,1,0.5188398
42132,0,0.3979381
42133,1,0.96592486
42134,0,0.35905355
42135,0,4.156756e-17
42136,0,0.029989123
42137,1,0.5308284
42138,1,0.53932226
42139,1,0.81063855
42140,0,0.0054172305
42141,0,0.23585269
42142,1,0.66749877
42143,1,0.87215656
42144,0,0.12398902
42145,1,0.8282529
42146,0,0.05344671
42147,1,0.88629943
42148,1,0.56354475
42149,0,0.340375
42150,0,0.31755897
42151,1,0.6955574
42152,1,0.76325345
42153,0,0.12618057
42154,1,0.52242017
42155,0,0.4665948
42156,0,0.48174086
42157,0,0.019238055
42158,0,0.32445216
42159,1,0.795386
42160,1,0.6626726
42161,0,9.638344e-07
42162,0,0.053530324
42163,0,0.040590733
42164,1,0.72898984
42165,0,0.37047848
42166,1,0.78047425
42167,0,3.8444362e-10
42168,1,0.68833584
42169,0,0.4681559
42170,0,0.018461129
42171,0,0.08175603
42172,0,0.3602321
42173,1,0.87722903
42174,0,0.14006802
42175,0,0.25656497
42176,1,0.8910511
42177,0,0.12787703
42178,0,0.03916969
42179,1,0.84879166
42180,1,0.7679562
42181,0,0.4610596
42182,1,0.6840565
42183,1,0.5245468
42184,0,0.07507188
42185,0,0.16719817
42186,0,0.15433116
42187,0,0.33233806
42188,0,0.029409857
42189,0,0.12221928
42190,0,0.3251813
42191,0,0.36964494
42192,0,0.23866454
42193,0,0.28355506
42194,0,0.31306568
42195,1,0.8902272
42196,1,0.8492163
42197,0,0.42546383
42198,1,0.6492408
42199,1,0.50903755
42200,1,0.5825579
42201,1,0.6233677
42202,1,0.53136253
42203,0,0.29516083
42204,1,0.7996855
42205,0,0.1975497
42206,0,0.008890428
42207,1,0.73537725
42208,0,0.044179242
42209,0,0.33384615
42210,0,0.28518716
42211,0,0.24646668
42212,0,0.28663045
42213,1,0.8128534
42214,1,0.71762365
42215,0,0.47598872
42216,1,0.59631056
42217,0,0.15953903
42218,0,0.027749022
42219,0,0.16020118
42220,0,0.44625786
42221,1,0.6557921
42222,0,0.4572302
42223,0,0.12720889
42224,1,0.8894127
42225,1,0.71797305
42226,1,0.865197
42227,0,0.06176077
42228,1,0.5142769
42229,0,0.084698096
42230,0,0.2840425
42231,1,0.73218
42232,1,0.8659179
42233,0,0.06836922
42234,1,0.82746947
42235,0,0.1272624
42236,0,0.030979067
42237,1,0.7658395
42238,0,0.20741741
42239,0,0.108743764
42240,1,0.90315604
42241,1,0.50678545
42242,0,0.085903324
42243,1,0.9009557
42244,0,0.3714705
42245,1,0.62184733
42246,1,0.89160323
42247,1,0.82086354
42248,0,0.38677403
42249,1,0.8692986
42250,0,0.47088358
42251,0,0.24391985
42252,1,0.7859238
42253,1,0.7130496
42254,0,0.051456995
42255,0,0.14337867
42256,1,0.61489826
42257,1,0.6428511
42258,0,0.2985984
42259,1,0.7208127
42260,1,0.72368515
42261,1,0.6468511
42262,1,0.8371584
42263,1,0.9359723
42264,0,0.08301365
42265,1,0.7560863
42266,0,0.026763307
42267,0,0.19291651
42268,1,0.8157376
